order_id,restaurant_id,restaurant_name,location,cuisine,avg_cost,order_time,pickup_time,is_raining
ORD_0,Rayar Mess,Rayar Mess,Kilpauk,South Indian,150,2026-01-11 17:20:00,2026-01-11 17:37:49.113716,0
ORD_1,Cream Centre,Cream Centre,Anna Nagar,North Indian,900,2026-01-22 14:01:00,2026-01-22 14:51:35.746376,0
ORD_2,Amethyst,Amethyst,Nungambakkam,Cafe,1000,2026-01-02 21:20:00,2026-01-02 21:57:35.599964,0
ORD_3,Toscano,Toscano,Porur,Italian,1500,2026-01-28 21:15:00,2026-01-28 22:18:47.898638,0
ORD_4,Amethyst,Amethyst,Kilpauk,Cafe,1000,2026-01-30 12:43:00,2026-01-30 13:19:44.605555,0
ORD_5,Ya Mohideen,Ya Mohideen,Mylapore,Biryani,500,2026-01-21 18:38:00,2026-01-21 19:14:45.983033,0
ORD_6,Copper Chimney,Copper Chimney,Chromepet,North Indian,1200,2026-01-18 19:08:00,2026-01-18 19:55:57.383113,0
ORD_7,Burgerman,Burgerman,Mylapore,Fast Food,400,2026-01-12 22:07:00,2026-01-12 22:43:23.545619,0
ORD_8,Amethyst,Amethyst,Purasaiwakkam,Cafe,1000,2026-01-04 11:39:00,2026-01-04 12:01:31.985463,0
ORD_9,Sangeetha,Sangeetha,Siruseri,South Indian,350,2026-01-02 19:35:00,2026-01-02 20:00:30.619501,0
ORD_10,Benjarong,Benjarong,Kilpauk,Thai,1800,2026-01-08 16:59:00,2026-01-08 17:38:53.182319,0
ORD_11,Sukkubhai Biryani,Sukkubhai Biryani,Kilpauk,Biryani,550,2026-01-21 17:25:00,2026-01-21 18:12:39.903521,1
ORD_12,Burgerman,Burgerman,Guindy,Fast Food,400,2026-01-09 22:14:00,2026-01-09 22:51:29.681688,0
ORD_13,Thalappakatti,Thalappakatti,Siruseri,Biryani,650,2026-01-08 17:10:00,2026-01-08 17:46:11.222918,0
ORD_14,Cream Centre,Cream Centre,Anna Nagar,North Indian,900,2026-01-03 10:58:00,2026-01-03 11:28:32.470423,0
ORD_15,Rayar Mess,Rayar Mess,Alwarpet,South Indian,150,2026-01-08 21:33:00,2026-01-08 21:58:34.570886,0
ORD_16,Rayar Mess,Rayar Mess,OMR,South Indian,150,2026-01-03 21:39:00,2026-01-03 22:01:58.401928,0
ORD_17,Toscano,Toscano,Chromepet,Italian,1500,2026-01-03 10:04:00,2026-01-03 10:47:00.253280,0
ORD_18,Toscano,Toscano,Chromepet,Italian,1500,2026-01-07 20:08:00,2026-01-07 21:12:12.851953,0
ORD_19,Ya Mohideen,Ya Mohideen,Mylapore,Biryani,500,2026-01-17 13:31:00,2026-01-17 14:26:18.699810,0
ORD_20,A2B,A2B,Mylapore,South Indian,300,2026-01-13 20:28:00,2026-01-13 20:53:43.305472,0
ORD_21,Murugan Idli Shop,Murugan Idli Shop,Velachery,South Indian,250,2026-01-10 22:56:00,2026-01-10 23:21:23.981809,0
ORD_22,Burgerman,Burgerman,Siruseri,Fast Food,400,2026-01-12 13:29:00,2026-01-12 14:05:23.936136,0
ORD_23,Copper Chimney,Copper Chimney,Mylapore,North Indian,1200,2026-01-30 10:00:00,2026-01-30 10:31:15.619967,0
ORD_24,Amethyst,Amethyst,Guindy,Cafe,1000,2026-01-09 12:38:00,2026-01-09 13:13:35.704438,0
ORD_25,Thalappakatti,Thalappakatti,Porur,Biryani,650,2026-01-12 17:14:00,2026-01-12 17:55:00.929707,0
ORD_26,Benjarong,Benjarong,Alwarpet,Thai,1800,2026-01-20 10:48:00,2026-01-20 11:30:37.608616,0
ORD_27,Ya Mohideen,Ya Mohideen,Purasaiwakkam,Biryani,500,2026-01-05 10:55:00,2026-01-05 11:30:01.085598,0
ORD_28,Thalappakatti,Thalappakatti,Velachery,Biryani,650,2026-01-02 21:53:00,2026-01-02 22:51:36.931447,0
ORD_29,Amethyst,Amethyst,Velachery,Cafe,1000,2026-01-21 21:25:00,2026-01-21 22:14:14.656900,1
ORD_30,Benjarong,Benjarong,T. Nagar,Thai,1800,2026-01-23 20:55:00,2026-01-23 21:58:14.235494,0
ORD_31,Sangeetha,Sangeetha,Velachery,South Indian,350,2026-01-06 15:10:00,2026-01-06 15:38:06.961415,0
ORD_32,Benjarong,Benjarong,Adyar,Thai,1800,2026-01-09 21:58:00,2026-01-09 23:02:35.368623,0
ORD_33,Writer’s Cafe,Writer’s Cafe,T. Nagar,Fast Food,600,2026-01-19 19:02:00,2026-01-19 19:38:48.287191,0
ORD_34,Sangeetha,Sangeetha,Mylapore,South Indian,350,2026-01-20 18:32:00,2026-01-20 18:51:16.404663,0
ORD_35,Writer’s Cafe,Writer’s Cafe,Porur,Fast Food,600,2026-01-03 16:59:00,2026-01-03 17:23:41.908424,0
ORD_36,Benjarong,Benjarong,Purasaiwakkam,Thai,1800,2026-01-02 10:47:00,2026-01-02 11:45:15.643705,1
ORD_37,Rayar Mess,Rayar Mess,Alwarpet,South Indian,150,2026-01-09 12:18:00,2026-01-09 12:44:16.117878,0
ORD_38,Ya Mohideen,Ya Mohideen,Adyar,Biryani,500,2026-01-24 13:10:00,2026-01-24 14:29:14.614348,1
ORD_39,Amethyst,Amethyst,Anna Nagar,Cafe,1000,2026-01-16 18:34:00,2026-01-16 19:08:53.641872,1
ORD_40,Sukkubhai Biryani,Sukkubhai Biryani,Chromepet,Biryani,550,2026-01-18 11:53:00,2026-01-18 12:29:35.562875,0
ORD_41,Benjarong,Benjarong,Besant Nagar,Thai,1800,2026-01-07 12:16:00,2026-01-07 13:19:51.900902,0
ORD_42,Benjarong,Benjarong,Siruseri,Thai,1800,2026-01-27 12:21:00,2026-01-27 13:26:45.480619,0
ORD_43,Writer’s Cafe,Writer’s Cafe,Velachery,Fast Food,600,2026-01-21 10:27:00,2026-01-21 10:51:14.436494,0
ORD_44,Thalappakatti,Thalappakatti,OMR,Biryani,650,2026-01-28 22:47:00,2026-01-28 23:43:49.378206,0
ORD_45,Thalappakatti,Thalappakatti,Siruseri,Biryani,650,2026-01-28 22:45:00,2026-01-29 00:03:03.485536,1
ORD_46,Ya Mohideen,Ya Mohideen,Alwarpet,Biryani,500,2026-01-05 17:28:00,2026-01-05 18:03:55.278399,0
